roll_no,percentage
20R21A0401,8.00
20R21A0402,56.00
20R21A0403,49.33
20R21A0404,80.00
20R21A0405,11.33
20R21A0406,46.00
20R21A0407,68.00
20R21A0408,76.00
20R21A0409,16.00
20R21A0410,65.33
20R21A0411,74.67
20R21A0412,80.67
20R21A0413,60.67
20R21A0414,69.33
20R21A0415,36.67
20R21A0416,68.00
20R21A0417,65.33
20R21A0418,58.00
20R21A0419,51.33
20R21A0420,81.33
20R21A0421,82.00
20R21A0422,91.33
20R21A0423,77.33
20R21A0424,88.67
20R21A0425,95.33
20R21A0426,64.00
20R21A0427,62.00
20R21A0428,31.33
20R21A0429,74.67
20R21A0430,36.00
20R21A0431,88.67
20R21A0432,34.00
20R21A0433,79.33
20R21A0434,74.67
20R21A0435,62.67
20R21A0436,43.33
20R21A0437,67.33
20R21A0438,15.33
20R21A0439,60.00
20R21A0440,38.00
20R21A0441,13.33
20R21A0442,16.00
20R21A0443,95.33
20R21A0444,59.33
20R21A0445,69.33
20R21A0446,49.33
20R21A0447,80.67
20R21A0448,47.33
20R21A0449,39.33
20R21A0450,34.67
20R21A0451,49.33
20R21A0452,83.33
20R21A0453,62.67
20R21A0454,27.33
20R21A0455,50.00
20R21A0456,82.00
20R21A0457,62.67
20R21A0458,95.33
20R21A0459,83.33
20R21A0460,16.67
roll_no,percentage
21R25A0401,75.33
21R25A0402,92.00
21R25A0403,77.33
21R25A0404,91.33
21R25A0405,78.00
21R25A0406,96.00
